depth	min	max	median	mean
0	-73	-73	-73	-73
1	-69.7	-46.5	-62.9	-61.7
2	-65.3	-32.1	-53.5	-52.3
3	-60.1	-16.9	-44.1	-42.7
4	-54.9	-2	-34.8	-33.5
5	-48.5	10.9	-25.3	-23.7
6	-42.7	23.2	-15.9	-14.2
7	-36.5	35.5	-6.9	-5.2
8	-30.1	46.8	2.2	4.1
9	-22.2	58.1	12.2	14
10	-15.2	70.1	22.1	23.7
11	-7	81.6	32.5	33.8
12	1.1	93.2	42.6	43.7
13	9.7	104.7	52.5	53.6
