depth	min	max	median	mean
0	-73	-73	-73	-73
1	-68.5	-61	-65.8	-65.5
2	-62.2	-47.5	-56.2	-55.8
3	-52.9	-26.1	-42.6	-41.8
4	-44.8	-10.2	-31.3	-30.4
5	-38.8	3.6	-22.9	-21.5
6	-33.2	14.7	-15.2	-13.5
7	-29.8	24.1	-9.9	-7.8
8	-25.5	34	-3.3	-1.1
9	-20.8	46.1	4.3	6.5
10	-14.3	56.7	12.7	15.1
11	-6.7	68.1	23.4	25.5
12	2.2	80	34.1	36.1
13	11.9	92.5	46.4	48.2
14	20.6	104.1	57.3	58.7
15	27.3	116	66.2	67.7
16	33.7	126	76.1	77.2
17	41.2	136.4	85.5	86.7
18	48.9	147.8	95.4	96.4
19	56.2	158.5	105.4	106
